lat,lon,depth,unc,ID,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,mlon,mlat,mdep,id_no,src
18.077,-68.297,89.000,15.000,100106,EQ,3.300,2016-03-13 05:20:08.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16073000,42718
18.038,-68.730,139.000,15.000,100107,EQ,3.400,2016-03-13 06:36:34.200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16073002,42718
18.200,-67.674,7.000,15.000,100108,EQ,3.100,2016-03-13 15:41:21.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16073007,42718
18.044,-64.810,127.000,15.000,100109,EQ,3.400,2016-03-18 05:52:08.200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16078003,42718
17.569,-64.640,25.000,15.000,100110,EQ,3.000,2016-03-29 03:51:24.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16089001,42718
18.041,-68.435,99.000,15.000,100111,EQ,3.300,2016-03-30 04:50:47.900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16090002,42718
18.239,-67.872,121.000,15.000,100112,EQ,3.300,2016-04-01 00:48:28.900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16092000,42718
17.919,-68.323,87.000,15.000,100113,EQ,3.300,2016-04-02 07:15:07.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16093000,42718
17.998,-68.244,85.000,15.000,100114,EQ,3.200,2016-04-03 11:10:35.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16094002,42718
18.248,-68.769,173.000,15.000,100115,EQ,3.700,2016-04-05 01:31:19.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16096000,42718
18.154,-68.934,123.000,15.000,100116,EQ,3.200,2016-04-05 17:28:10.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16096007,42718
18.172,-66.142,81.000,15.000,100117,EQ,3.000,2016-04-06 14:41:28.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16097004,42718
18.230,-68.191,72.000,15.000,100118,EQ,3.000,2016-04-07 00:27:51.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16098000,42718
18.209,-68.548,144.000,15.000,100119,EQ,3.300,2016-04-11 13:59:32.900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16102006,42718
18.117,-64.946,13.000,15.000,100120,EQ,3.600,2016-04-14 06:14:28.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16105002,42718
18.101,-64.964,8.000,15.000,100121,EQ,3.600,2016-04-14 15:00:47.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16105036,42718
18.101,-64.958,7.000,15.000,100122,EQ,3.200,2016-04-14 15:12:54.900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16105034,42718
18.102,-64.959,10.000,15.000,100123,EQ,3.000,2016-04-14 15:15:03.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16105040,42718
18.247,-67.753,2.000,15.000,100124,EQ,3.000,2016-04-16 06:09:17.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16107002,42718
18.008,-68.324,80.000,15.000,100125,EQ,3.300,2016-04-17 14:35:26.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16108004,42718
18.215,-65.921,129.000,15.000,100126,EQ,3.100,2016-04-23 03:16:42.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16114000,42718
18.292,-68.004,97.000,15.000,100127,EQ,3.400,2016-04-24 22:47:21.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16115005,42718
18.250,-67.844,8.000,15.000,100128,EQ,3.100,2016-04-25 14:57:12.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16116003,42718
18.167,-68.769,141.000,15.000,100129,EQ,3.400,2016-04-25 19:00:58.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16116005,42718
18.260,-67.855,7.000,15.000,100130,EQ,3.100,2016-04-28 14:24:00.900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16119007,42718
18.210,-68.075,94.000,15.000,100131,EQ,3.000,2016-04-30 08:31:57.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16121001,42718
18.091,-68.798,73.000,15.000,100132,EQ,3.300,2016-05-03 05:30:41.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16124001,42718
18.158,-68.613,80.000,15.000,100133,EQ,3.300,2016-05-03 16:56:51.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16124005,42718
18.261,-67.884,96.000,15.000,100134,EQ,3.300,2016-05-10 06:39:26.900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16131001,42718
18.017,-68.602,80.000,15.000,100135,EQ,3.400,2016-05-16 01:09:45.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16137002,42718
17.076,-68.443,7.000,15.000,100136,EQ,3.600,2016-05-19 02:19:56.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16140001,42718
17.927,-68.788,150.000,15.000,100137,EQ,3.700,2016-05-21 09:38:42.600,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16142005,42718
17.828,-68.604,34.000,15.000,100138,EQ,3.400,2016-05-28 20:36:04.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16149007,42718
17.973,-68.626,75.000,15.000,100139,EQ,3.300,2016-05-29 17:49:34.200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16150002,42718
17.947,-67.676,6.000,15.000,100140,EQ,3.000,2016-06-04 22:43:27.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16156009,42718
18.131,-67.408,139.000,15.000,100141,EQ,3.100,2016-06-08 04:58:34.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16160003,42718
18.271,-64.710,128.000,15.000,100142,EQ,3.700,2016-06-10 06:19:37.600,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16162000,42718
